Pair ID,Original Terms,Inclusive Terms,Original Terms (Tamil),Corrected Translation(Inclusive Terms)
1,ballboy,ball person,ஆண் பந்து வீச்சாளர்,பந்து எடுப்பவர்
2,ballboys,ball people,ஆண் பந்து வீச்சாளர்கள்,பந்து எடுப்பவர்கள்
3,batboy,bat person,ஆண் மட்டையாளர்,மட்டை உதவியாளர்
4,batboys,bat people,ஆண் மட்டையாளர்கள்,மட்டை உதவியாளர்கள்
5,bellboy,bellhop,பெல்பாய் / விடுதி ஊழியன்,விடுதி ஊழியர்
6,bellboys,bellhops,பெல்பாய்ஸ்,விடுதி ஊழியர்கள்
7,boyband,band,பாய்பேண்ட் / ஆண் இசைக்குழு,இசைக்குழு
8,boybands,bands,பாய்பேண்ட்ஸ்,இசைக்குழுக்கள்
9,boyfriend,partner,தோழன்,துணைவர் / இணையர்
10,boyfriends,partners,தோழர்கள்,துணைவர்கள் / இணையர்கள்
11,boyish,childish,சிறுவன் / சிறுபிள்ளைத்தனம்,குழந்தைத்தனம்
12,boyishly,childishly,சிறுபிள்ளைத்தனமாக,குழந்தைத்தனமாக
13,boyism,childism,ஆண்மை,குழந்தைத்தனம்
14,boyisms,childisms,சிறுவர்கள்,குழந்தைத்தனங்கள்
15,boyscout,scout,சிறுவர்கள்,சாரணர்
16,boyscouts,scouts,சிறுவன் சாரணர் / ஆண் சாரணர்,சாரணர்கள்
17,boytoy,toy,பைடோய்,பொம்மை
18,boytoys,toys,சிறுவர்கள்,பொம்மைகள்
19,busboy,restaurant attendant,பஸ்பாய்,உணவக உதவியாளர்
20,busboys,restaurant attendants,பஸ்பாய்ஸ்,உணவக உதவியாளர்கள்
21,callboy,sex worker,கால்பாய்,பாலியல் தொழிலாளி
22,callboys,sex workers,கால்பாய்ஸ்,பாலியல் தொழிலாளர்கள்
23,copyboy,junior newspaper worker,நகல் பாய்,இளநிலை செய்தித்தாள் பணியாளர்
24,copyboys,junior newspaper workers,நகல் பாய்ஸ்,இளநிலை செய்தித்தாள் பணியாளர்கள்
25,cowboy,cow herder,கவ்பாய்,மாடு மேய்ப்பவர்
26,cowboys,cow herders,மாடுபிடி வீரர்கள்,மாடு மேய்ப்பவர்கள்
27,doughboy,foot soldier,மாவை பையன்,காலாட்படை வீரர்
28,doughboys,foot soldiers,மாவைச் சிறுவர்கள்,காலாட்படை வீரர்கள்
29,fanboy,fan,ரசிகர்,ரசிகர்
30,fanboys,fans,ரசிகர்கள்,ரசிகர்கள்
31,farmboy,farm worker,பண்ணைக்காரன்,பண்ணைத் தொழிலாளி
32,farmboys,farm workers,பண்ணை சிறுவர்கள்,பண்ணைத் தொழிலாளர்கள்
33,femboy,effeminate person,பெண் குழந்தை,பெண்மை இயல்புடைய நபர்
34,femboys,effeminate people,பெண் குழந்தைகள்,பெண்மை இயல்புடைய நபர்கள்
35,fisherboy,young fisher,மீனவர்,இளம் மீனவர்
36,fisherboys,young fishers,மீனவர்கள்,இளம் மீனவர்கள்
37,fratboy,fraternity member,ஃபிராட் பையன்,சகோதரத்துவ உறுப்பினர்
38,fratboys,fraternity members,ஃபிராட் பையன்கள்,சகோதரத்துவ உறுப்பினர்கள்
39,headboy,student leader,தலைவன்,மாணவர் தலைவர்
