Pair ID,Original Terms,Inclusive Terms,Original Terms (Kannada),Inclusive Terms (Kannada)
1,ballboy,ball person,ಚೆಂಡು ಹುಡುಗ,ಚೆಂಡು ವ್ಯಕ್ತಿ
2,ballboys,ball people,ಚೆಂಡು ಹುಡುಗರು,ಚೆಂಡು ಜನರು
3,batboy,bat person,ಬ್ಯಾಟ್‌ ಹುಡುಗ,ಬ್ಯಾಟ್ ವ್ಯಕ್ತಿ
4,batboys,bat people,ಬ್ಯಾಟ್‌ ಹುಡುಗರು,ಬ್ಯಾಟ್ ಜನರು
5,bellboy,bellhop,ಬೆಲ್ ಹುಡುಗ,ಹೋಟೆಲ್ ಸೇವಕ
6,bellboys,bellhops,ಬೆಲ್ ಹುಡುಗರು,ಹೋಟೆಲ್ ಸೇವಕರು
7,boyband,band,ಹುಡುಗರ ಬ್ಯಾಂಡ್,ಬ್ಯಾಂಡ್
8,boybands,bands,ಹುಡುಗರ ಬ್ಯಾಂಡ್ಗಳು,ಬ್ಯಾಂಡ್‌ಗಳು
9,boyfriend,partner,ಗೆಳೆಯ,ಸಂಗಾತಿ
10,boyfriends,partners,ಗೆಳೆಯರು,ಸಂಗಾತಿಗಳು
11,boyish,childish,ಬಾಲಿಶ,ಬಾಲಿಶ
12,boyishly,childishly,ಬಾಲಿಶವಾಗಿ,ಬಾಲಿಶವಾಗಿ
13,boyism,childism,ಹುಡುಗತ್ವ,ಬಾಲತ್ವ
14,boyisms,childisms,ಹುಡುಗಾಟಗಳು,ಬಾಲಚೇಷ್ಟೆಗಳು
15,boyscout,scout,ಸ್ಕೌಟ್ ಬಾಲಕ,ಸ್ಕೌಟ್
16,boyscouts,scouts,ಸ್ಕೌಟ್ಸ್ ಬಾಲಕರು,ಸ್ಕೌಟ್ಸ್
17,boytoy,toy,ಹುಡುಗರ ಆಟಿಕೆ,ಆಟಿಕೆ
18,boytoys,toys,ಹುಡುಗರ ಆಟಿಕೆಗಳು,ಆಟಿಕೆಗಳು
19,busboy,restaurant attendant,ಸಹಾಯಕ,ರೆಸ್ಟೋರೆಂಟ್ ಪರಿಚಾರಕ
20,busboys,restaurant attendants,ಸಹಾಯಕರು,ರೆಸ್ಟೋರೆಂಟ್ ಪರಿಚಾರಕರು
21,callboy,sex worker,ಕಾಲ್ಬಾಯ್,ಲೈಂಗಿಕ ಕಾರ್ಯಕರ್ತ
22,callboys,sex workers,ಕಾಲ್ಬಾಯ್ಸ್,ಲೈಂಗಿಕ ಕಾರ್ಯಕರ್ತರು
23,copyboy,junior newspaper worker,ಪ್ರತಿ ಸಹಾಯಕ,ಕಿರಿಯ ಪತ್ರಿಕೆ ಕೆಲಸಗಾರ
24,copyboys,junior newspaper workers,ಪ್ರತಿ ಸಹಾಯಕರು,ಕಿರಿಯ ಪತ್ರಿಕೆ ಕೆಲಸಗಾರರು
25,cowboy,cow herder,ದನಗಾಹಿ,ಹಸು ಮೇಯಿಸುವವ
26,cowboys,cow herders,ದನಗಾಹಿಗಳು,ಹಸು ಮೇಯಿಸುವವರು
27,doughboy,foot soldier,ಪಾದಾತಿ ಸೈನಿಕ,ಪದಾತಿ
28,doughboys,foot soldiers,ಪದಾತಿ ದಳದ ಸೈನಿಕರು,ಪಾದಾತಿ ಸೈನಿಕರು
29,fanboy,fan,ಅಭಿಮಾನಿ ಹುಡುಗ,ಅಭಿಮಾನಿ
30,fanboys,fans,ಅಭಿಮಾನಿ ಹುಡುಗರು,ಅಭಿಮಾನಿಗಳು
31,farmboy,farm worker,ಕೃಷಿ ಹುಡುಗ,ಕೃಷಿ ಕೆಲಸಗಾರ
32,farmboys,farm workers,ಕೃಷಿ ಹುಡುಗರು,ಕೃಷಿ ಕೆಲಸಗಾರರು
33,femboy,effeminate person,ಸ್ತ್ರೀಸ್ವಭಾವದ ಹುಡುಗ,ಸ್ತ್ರೀಸ್ವಭಾವದ ವ್ಯಕ್ತಿ
34,femboys,effeminate people,ಸ್ತ್ರೀಸ್ವಭಾವದ ಹುಡುಗರು,ಸ್ತ್ರೀಸ್ವಭಾವದ ಜನರು
35,fisherboy,young fisher,ಮೀನುಗಾರ,ಯುವ ಮೀನುಗಾರ
36,fisherboys,young fishers,ಬೆಸ್ತರು,ಯುವ ಮೀನುಗಾರರು
37,fratboy,fraternity member,ಫ್ರಾಟ್ ಹುಡುಗ,ಭ್ರಾತೃತ್ವದ ಸದಸ್ಯ
38,fratboys,fraternity members,ಫ್ರಾಟ್ ಹುಡುಗರು,ಭ್ರಾತೃತ್ವ ಸದಸ್ಯರು
39,headboy,student leader,ವಿದ್ಯಾರ್ಥಿ ನಾಯಕನು,ವಿದ್ಯಾರ್ಥಿ ನಾಯಕ
40,headboys,student leaders,ವಿದ್ಯಾರ್ಥಿ ನಾಯಕರು,ವಿದ್ಯಾರ್ಥಿ ನಾಯಕರು
41,homeboy,fellow member,ಮನೆಯ ಹುಡುಗ,ಸಹ ಸದಸ್ಯ
42,homeboys,fellow members,ಮನೆಯ ಹುಡುಗರು,ಸಹ ಸದಸ್ಯರು
43,houseboy,domestic worker,ಮನೆ ಕೆಲಸದ ಹುಡುಗ,ಮನೆ ಕೆಲಸಗಾರ
44,houseboys,domestic workers,ಮನೆ ಕೆಲಸದ ಹುಡುಗರು,ಮನೆ ಕೆಲಸಗಾರರು
45,ladyboy,genderqueer person,ಲಿಂಗಾಂತರ ವ್ಯಕ್ತಿ,ಲಿಂಗಾತೀತ ವ್ಯಕ್ತಿ
