non-inclusive,inclusive,Category,non-inclusive (Tamil),inclusive (Tamil)
How many man-hours will this project take?,How many person-hours will this project take?,Gender,இந்தத் திட்டத்திற்கு எத்தனை மனித மணிநேரம் தேவைப்படும்?,இந்தத் திட்டப்பணிக்கு எத்தனை நபருக்குரிய மணிநேரம் ஆகும்?
"If a manager picks up this topic, he should go extra mile to solve it","If a manager picks up this topic, they should go extra mile to solve it",Gender,"ஒரு மேலாளர் இந்த தலைப்பை எடுத்தால், அதைத் தீர்க்க அவர் கூடுதல் முயற்சி எடுக்க வேண்டும்","ஒரு மேலாளர் இந்தத் தலைப்பை எடுத்தால், அதைத்  தீர்ப்பதற்கு அவர்கள் கூடுதல் முயற்சி எடுக்க வேண்டும்"
Each salesman must meet his quota by Friday,Each salesperson must meet their quota by Friday,Gender,ஒவ்வொரு விற்பனையாளரும் தனது ஒதுக்கீட்டை வெள்ளிக்கிழமைக்குள் பூர்த்தி செய்ய வேண்டும்,ஒவ்வொரு விற்பனையாளரும் வெள்ளிக்கிழமைக்குள் தங்கள் இலக்கை எட்ட வேண்டும்
We require manpower to get this done,We require workforce to get this done,Gender,இதைச் செய்ய எங்களுக்கு மனித சக்தி தேவை,இதைச் செய்ய எங்களுக்கு பணியாளர்கள் தேவை
"If an engineer finds a flaw, he must report it","If an engineer finds a flaw, they must report it",Gender,"ஒரு பொறியாளர் குறையைக் கண்டால், அவர் அதைப் புகாரளிக்க வேண்டும்","ஒரு பொறியாளர் குறையைக் கண்டால், அவர்கள் அதைப் புகாரளிக்க வேண்டும்"
Each scientist was required to submit his proposal before the deadline.,Each scientist was required to submit their proposal before the deadline.,Gender,ஒவ்வொரு விஞ்ஞானியும் காலக்கெடுவிற்கு முன் தனது திட்டத்தை சமர்ப்பிக்க வேண்டும்.,ஒவ்வொரு விஞ்ஞானியும் தங்கள் முன்மொழிவை காலக்கெடுவிற்கு முன் சமர்ப்பிக்க வேண்டும்.
The chairman will address the audience at noon.,The chairperson will address the audience at noon.,Gender,தலைவர் மதியம் பார்வையாளர்களிடம் உரையாற்றுவார்.,தலைவர் மதியம் பார்வையாளர்களிடம் உரையாற்றுவார்.
Each chairman must approve the policy.,Each chair or chairperson must approve the policy.,Gender,ஒவ்வொரு தலைவரும் கொள்கையை அங்கீகரிக்க வேண்டும்.,ஒவ்வொரு தலைவர் அல்லது தலைவரும் கொள்கையை அங்கீகரிக்க வேண்டும்.
The fireman responded quickly.,The firefighter responded quickly.,Gender,தீயணைப்பு வீரர் விரைவாக பதிலளித்தார்.,தீயணைப்பு வீரர்கள் விரைந்து செயல்பட்டனர்.
"Hey guys, let’s get started on this project.","Hey everyone, let’s get started on this project.",Gender,"நண்பர்களே, இந்தத் திட்டத்தைத் தொடங்குவோம்.","அனைவருக்கும் வணக்கம், இந்த திட்டத்தை தொடங்குவோம்."
Our company is looking for a strong businessman to lead the project.,Our company is looking for a strong businessperson to lead the project.,Gender,எங்கள் நிறுவனம் திட்டத்தை வழிநடத்த ஒரு வலுவான தொழிலதிபரைத் தேடுகிறது.,எங்கள் நிறுவனம் திட்டத்தை வழிநடத்த ஒரு வலுவான தொழிலதிபரைத் தேடுகிறது.
