non-inclusive,inclusive,Category,non-inclusive (Kannada),inclusive (Kannada)
How many man-hours will this project take?,How many person-hours will this project take?,Gender,ಈ ಯೋಜನೆಯು ಎಷ್ಟು ಮಾನವ-ಗಂಟೆಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ?,ಈ ಯೋಜನೆಯು ಎಷ್ಟು ಮಾನವ-ಗಂಟೆಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ?
"If a manager picks up this topic, he should go extra mile to solve it","If a manager picks up this topic, they should go extra mile to solve it",Gender,"ಮ್ಯಾನೇಜರ್ ಈ ವಿಷಯವನ್ನು ಎತ್ತಿಕೊಂಡರೆ, ಅದನ್ನು ಪರಿಹರಿಸಲು ಅವನು ಹೆಚ್ಚುವರಿ ಮೈಲಿ ಹೋಗಬೇಕು","ಮ್ಯಾನೇಜರ್ ಈ ವಿಷಯವನ್ನು ಎತ್ತಿಕೊಂಡರೆ, ಅದನ್ನು ಪರಿಹರಿಸಲು ಅವರು ಹೆಚ್ಚುವರಿ ಮೈಲಿ ಹೋಗಬೇಕು"
Each salesman must meet his quota by Friday,Each salesperson must meet their quota by Friday,Gender,ಪ್ರತಿಯೊಬ್ಬ ಮಾರಾಟಗಾರನು ತನ್ನ ಕೋಟಾವನ್ನು ಶುಕ್ರವಾರದೊಳಗೆ ಪೂರೈಸಬೇಕು,ಪ್ರತಿ ಮಾರಾಟಗಾರರು ಶುಕ್ರವಾರದೊಳಗೆ ತಮ್ಮ ಕೋಟಾವನ್ನು ಪೂರೈಸಬೇಕು
We require manpower to get this done,We require workforce to get this done,Gender,ಇದನ್ನು ಮಾಡಲು ನಮಗೆ ಮಾನವಶಕ್ತಿಯ ಅಗತ್ಯವಿದೆ,ಇದನ್ನು ಮಾಡಲು ನಮಗೆ ಉದ್ಯೋಗಿಗಳ ಅಗತ್ಯವಿದೆ
"If an engineer finds a flaw, he must report it","If an engineer finds a flaw, they must report it",Gender,ಇಂಜಿನಿಯರ್ ಲೋಪ ಕಂಡು ಬಂದರೆ ಅದನ್ನು ಅವನು ವರದಿ ಮಾಡಬೇಕು,ಇಂಜಿನಿಯರ್ ಲೋಪ ಕಂಡು ಬಂದರೆ ಅದನ್ನು ಅವರು ವರದಿ ಮಾಡಬೇಕು
Each scientist was required to submit his proposal before the deadline.,Each scientist was required to submit their proposal before the deadline.,Gender,ಪ್ರತಿಯೊಬ್ಬ ವಿಜ್ಞಾನಿಯೂ ತನ್ನ ಪ್ರಸ್ತಾವನೆಯನ್ನು ಗಡುವಿನ ಮೊದಲು ಸಲ್ಲಿಸಬೇಕಾಗಿತ್ತು.,ಪ್ರತಿಯೊಬ್ಬ ವಿಜ್ಞಾನಿಯೂ ತಮ್ಮ ಪ್ರಸ್ತಾವನೆಯನ್ನು ಗಡುವಿನ ಮೊದಲು ಸಲ್ಲಿಸಬೇಕಾಗಿತ್ತು.
The chairman will address the audience at noon.,The chairperson will address the audience at noon.,Gender,ಸಭಾಪತಿಯವರು ಮಧ್ಯಾಹ್ನ ಸಭಿಕರನ್ನು ಉದ್ದೇಶಿಸಿ ಮಾತನಾಡಲಿದ್ದಾರೆ.,ಅಧ್ಯಕ್ಷರು ಮಧ್ಯಾಹ್ನ ಸಭಿಕರನ್ನು ಉದ್ದೇಶಿಸಿ ಮಾತನಾಡಲಿದ್ದಾರೆ.
Each chairman must approve the policy.,Each chair or chairperson must approve the policy.,Gender,ಪ್ರತಿಯೊಬ್ಬ ಅಧ್ಯಕ್ಷ ನೀತಿಯನ್ನು ಅನುಮೋದಿಸಬೇಕು.,ಪ್ರತಿ ಅಧ್ಯಕ್ಷರು ನೀತಿಯನ್ನು ಅನುಮೋದಿಸಬೇಕು.
The fireman responded quickly.,The firefighter responded quickly.,Gender,ಅಗ್ನಿಶಾಮಕ ಸಿಬ್ಬಂದಿ ತ್ವರಿತವಾಗಿ ಪ್ರತಿಕ್ರಿಯಿಸಿದನು.,ಅಗ್ನಿಶಾಮಕ ಸಿಬ್ಬಂದಿ ತ್ವರಿತವಾಗಿ ಸ್ಪಂದಿಸಿದರು.
"Hey guys, let’s get started on this project.","Hey everyone, let’s get started on this project.",Gender,"ಹೇ ಹುಡುಗರೇ, ಈ ಯೋಜನೆಯನ್ನು ಪ್ರಾರಂಭಿಸೋಣ.","ಎಲ್ಲರಿಗೂ ನಮಸ್ಕಾರ, ಈ ಯೋಜನೆಯನ್ನು ಪ್ರಾರಂಭಿಸೋಣ."
Our company is looking for a strong businessman to lead the project.,Our company is looking for a strong businessperson to lead the project.,Gender,ಯೋಜನೆಯನ್ನು ಮುನ್ನಡೆಸಲು ನಮ್ಮ ಕಂಪನಿಯು ಪ್ರಬಲ ಪುರುಷ ಉದ್ಯಮಿಯನ್ನು ಹುಡುಕುತ್ತಿದೆ.,ಯೋಜನೆಯನ್ನು ಮುನ್ನಡೆಸಲು ನಮ್ಮ ಕಂಪನಿಯು ಪ್ರಬಲ ಉದ್ಯಮಿಯನ್ನು ಹುಡುಕುತ್ತಿದೆ.
The firemen responded to the emergency call.,The firefighters responded to the emergency call.,Gender,ಅಗ್ನಿಶಾಮಕ ಸಿಬ್ಬಂದಿ ತುರ್ತು ಕರೆಗೆ ಸ್ಪಂದಿಸಿದನು.,ಅಗ್ನಿಶಾಮಕ ಸಿಬ್ಬಂದಿ ತುರ್ತು ಕರೆಗೆ ಸ್ಪಂದಿಸಿದರು.
The chairman will make the final decision.,The chairperson will make the final decision.,Gender,ಸಭಾಪತಿಯವರು ಅಂತಿಮ ನಿರ್ಧಾರ ಕೈಗೊಳ್ಳಲಿದ್ದಾರೆ.,ಅಧ್ಯಕ್ಷರು ಅಂತಿಮ ನಿರ್ಧಾರ ಕೈಗೊಳ್ಳಲಿದ್ದಾರೆ.
The mailman delivers letters every morning.,The mail carrier delivers letters every morning.,Gender,ಅಂಚೆಯವನು ಪ್ರತಿದಿನ ಬೆಳಿಗ್ಗೆ ಪತ್ರಗಳನ್ನು ತಲುಪಿಸುತ್ತಾನೆ.,ಅಂಚೆಯವರು ಪ್ರತಿದಿನ ಬೆಳಿಗ್ಗೆ ಪತ್ರಗಳನ್ನು ತಲುಪಿಸುತ್ತಾರೆ.
The freshman orientation will be held next week.,The first-year orientation will be held next week.,Gender,ಹೊಸಬರ ಪರಿಚಯಾತ್ಮಕ ಕಾರ್ಯಕ್ರಮವು ಮುಂದಿನ ವಾರ ನಡೆಯಲಿದೆ.,ಮೊದಲ ವರ್ಷದ ಓರಿಯಂಟೇಶನ್ ಮುಂದಿನ ವಾರ ನಡೆಯಲಿದೆ.
We need more manpower to finish the task.,We need more workforce to finish the task.,Gender,ಕಾರ್ಯವನ್ನು ಪೂರ್ಣಗೊಳಿಸಲು ನಮಗೆ ಹೆಚ್ಚಿನ ಮಾನವಶಕ್ತಿ ಬೇಕು.,ಕಾರ್ಯವನ್ನು ಪೂರ್ಣಗೊಳಿಸಲು ನಮಗೆ ಹೆಚ್ಚಿನ ಉದ್ಯೋಗಿಗಳ ಅಗತ್ಯವಿದೆ.
