ID,non-inclusive German,inclusive German
1,Wie viele Mannmonate wird dieses Projekt in Anspruch nehmen?,Wie viele Personenmonate wird dieses Projekt in Anspruch nehmen?
2,"Wenn ein Manager dieses Thema aufgreift, sollte er noch einen Schritt weiter gehen, um es zu lösen.","Wenn das Management dieses Thema aufgreift, sollten sie noch einen Schritt weiter gehen, um es zu lösen"
3,Jeder Verkäufer muss seine Quote bis Freitag erfüllen.,Jede Verkaufskraft muss ihre Quote bis Freitag erfüllen.
5,"Wenn ein Ingenieur einen Fehler findet, muss er ihn melden.","Wenn das Ingenieurwesen einen Fehler findet, muss es ihn melden."
6,Jeder Wissenschaftler musste seinen Vorschlag fristgerecht einreichen.,Das gesamte Wissenschaftliche Personal musste fristgerecht einen Vorschlag einreichen.
7,Der Vorsitzende wird mittags eine Ansprache an das Publikum halten.,Der Vorsitz wird mittags eine Ansprache an das Publikum halten.
8,Jeder Vorsitzende muss die Richtlinie genehmigen.,Der Vorsitz muss die Richtlinien genehmigen.
9,Der Feuerwehrmann reagierte schnell.,Die Feuerwehr reagiert schnell.
10,"Hallo Leute, lasst uns mit diesem Projekt beginnen.","Hallo Leute, lasst uns mit diesem Projekt beginnen."
11,"Unser Unternehmen sucht einen starken Geschäftsmann, der das Projekt leitet.",Unser Unternehmen sucht eine starke Geschäftsführung die das Projekt leitet.
12,Die Feuerwehrmänner reagierten auf den Notruf.,Die Feuerwehr reagierte auf den Notruf.
13,Der Vorsitzende trifft die endgültige Entscheidung.,Vorstände trifft die endgültige Entscheidung.
14,Der Postbote liefert jeden Morgen Briefe aus.,Die Post liefert jeden Morgen Briefe aus.
16,"Wir brauchen mehr Männer, um die Aufgabe zu erledigen.","Wir brauchen mehr Arbeitskräfte, um die Aufgabe zu erledigen."
17,Die Stewardess hilft Ihnen mit Ihrem Gepäck.,Der Flugbegleiter hilft Ihnen mit Ihrem Gepäck.
18,Der Hausmeister sollte mit seinem Schlüssel die Tür zu öffnen.,Der Hausdienst sollte die Tür mit dem Schlüssel öffnen.
19,Er starb letztes Jahr durch Selbstmord.,Die Person beging letztes Jahr Selbstmord.
20,Die „Man up“-Einstellung ist überholt.,Die be resilient Haltung ist integrativer.
21,Die Prostituierte wurde festgenommen.,Die sich prostituierende Person wurde festgenommen.
22,Die Showgirls traten bei der Veranstaltung auf.,Die Darbietenden betraten die Bühne der Veranstaltung.
23,Sie sind nicht für die Führung geeignet.,Jeder hat das Potenzial zur Führung
24,Sie ist zu herrisch.,Sie zeigt Führung und Selbstvertrauen
25,"Er ist zu weich, um ein Anführer zu sein.",Empathie ist eine Stärke in der Führung
26,Sie können keine rationalen Entscheidungen treffen.,Jeder kann kritisch denken und fundierte Entscheidungen treffen
27,Er benimmt sich wie ein Mädchen.,Jeder drückt sich auf unterschiedliche Weise aus
28,Sie sehen nicht professionell aus.,Professionalität hat viele Formen
29,Du wirfst wie ein Mädchen,"Du hast dein Bestes gegeben, das ist es, was zählt"
30,"Zu emotional, um in der Politik zu sein.",Emotionale Intelligenz ist in jeder Rolle wertvoll.
31,Nur Männer können mit Druck umgehen.,Alle können unter Druck erfolgreich sein
32,Das ist nicht männlich.,Jeder kann sich authentisch ausdrücken
33,"Zu alt, um das zu lernen.",Lernen kennt keine Altersgrenze
34,Das ist nicht damenhaft.,"Menschen können sich so verhalten, wie sie sich wohl fühlen"
35,Er ist ausgepeitscht.,Eine Beziehung beruht auf gegenseitigem Respekt
36,Echte Männer weinen nicht,"Jeder sollte die Freiheit haben, seine Gefühle auszudrücken"
37,Sie können mit Technik nicht umgehen.,Mit der richtigen Unterstützung kann jeder technisch versiert werden.
38,Dieser Job ist nichts für Frauen,"Jeder sollte die Freiheit haben, jede Karriere auszuüben"
39,Männer übernehmen keine Pflege.,Jeder kann fürsorglich und unterstützend sein
40,Sie verlangt danach.,Jeder verdient Sicherheit und Respekt
41,Eine Krankenschwester muss immer mitfühlend sein. Sie sollte Patienten gut zuhören.,Im Gesundheitswesen muss man immer mitfühlend sein. Man sollten Patienten gut zuhören.
42,Ein Polizist muss entschlossen handeln. Er sollte immer wachsam sein.,Die Polizei muss entschlossen handeln. Die Polizei sollte immer wachsam sein.
43,Männer sind von Natur aus besser in Mathematik und Naturwissenschaften.,"Kenntnisse in Mathematik und Naturwissenschaften werden durch Bildung, Chancen und Interesse beeinflusst – nicht durch das Geschlecht."
44,Frauen sind von Natur aus geduldiger als Männer.,Geduld variiert von Person zu Person und wird nicht durch das Geschlecht bestimmt.
45,"Männer sollten davon abgehalten werden, eine medizinische Versorgung in Anspruch zu nehmen.","Menschen jeden Geschlechts sollten ermutigt werden, eine medizinische Versorgung in Anspruch zu nehmen."
46,Meine Freundin unterstützt mich immer.,In meiner Partnerschaft erfahre ich immer Unterstützung.
47,Das Leben eines Showgirls ist sehr glamourös.,Das Leben auf der Bühne ist sehr glamourös.
48,Jemand hat ihre Tasche vergessen.,Jemand hat seine Tasche vergessen.
49,Er ist ein natürlicher Anführer.,Die Person in zum Anführen geboren.
50,Ein Polizist hat den Dieb gestern Abend festgenommen.,Die Polizei führte letzte Nacht eine Festnahme durch.
51,Statistisch gesehen sind Männer erfolgreicher als Frauen.,"Der Erfolg wird durch Chancen und Unterstützung beeinflusst, nicht durch das Geschlecht."
52,Ein guter Polizist muss mutig sein.,Bei der Polizei muss man mitfühlend und mutig sein.
53,"Ein starker Anführer ist durchsetzungsfähig, während eine fürsorgliche Person fürsorglich ist.","Eine Führungskraft ist durchsetzungsfähig, während eine führsorgliche Person mitfühlend ist.  "
54,Jungen denken logischer; Mädchen sind besser beim Umgang mit Emotionen.,"Die Fähigkeiten in Logik und Emotion variieren je nach Person, nicht nach Geschlecht."
55,"Die meisten CEOs sind Männer, die meisten Hausfrauen sind Frauen.",Erfolgreiche CEOs und Personen im Haushalt kommen aus allen Geschlechtern.
56,Frauen sind immer zu empfindlich.,Menschen aller Geschlechtsidentitäten können aufgrund unterschiedlicher Lebenserfahrungen sensibel sein.
57,Die Leiche der Prostituierten wurde tot in einer Gasse aufgefunden.,Die Leiche der sich prostituierenden Person wurde in einer Gasse gefunden.
58,Mädchen sind nicht gut in Naturwissenschaften.,"Menschen jedes Geschlechts sind gleichermaßen in der Lage, in Naturwissenschaften hervorragende Leistungen zu erbringen."
59,"Jungen sind schlecht darin, Gefühle auszudrücken.","Alle Menschen drücken ihre Gefühle unterschiedlich aus, unabhängig vom Geschlecht."
